system,surface,frame,state,State,Reason,Final_Bond_Order,Final_Si_Idx,Final_Intramol_Dist,Final_Intramol_HBond_Count,Final_Anchoring_Dist,Final_NH2_SurfaceO_Dist,Final_RiboseOH_SurfaceSilanol_Dist,Final_PhosphateO_SurfaceO_Dist,Final_PhosphateO_SurfaceSi_Dist,Final_PO_Siloxane_COM_Dist,out_file,xyz_file
cmp,aluminium,frame15,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.780319370389142,0,2.8768906363885143,3.3154600075387384,3.4823588989874,2.8768906363885143,3.0210422730743276,5.383865904999198,cmp_al_frame15_dry.out,cmp_al_frame15_dry_trj.xyz
gmp,canonical,frame15,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.799903448868601,0,3.150508949274168,3.150508949274168,3.222550629070606,3.455135912310828,3.8265484052046976,5.022354257629517,gmp_frame15.out,gmp_frame15_trj.xyz
gmp,canonical,frame15,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.849230796416971,0,2.868373085743339,3.170478236574491,4.343396873540169,2.868373085743339,2.9560177990017906,4.725452661316799,gmp_frame15_dry.out,gmp_frame15_dry_trj.xyz
gmp,canonical,frame16,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.798866500645682,0,3.2761321951960585,3.3840476090894387,3.2761321951960585,3.575613596491757,4.2314860256723374,7.148917227144667,gmp_frame16.out,gmp_frame16_trj.xyz
gmp,canonical,frame16,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.666 exceeds 0.50,0.6664,14.0,4.780905341489042,0,2.3840132132223397,3.121928890325521,3.027700385972253,2.3840132132223397,1.9356355969273353,6.243207032145686,gmp_frame16_dry.out,gmp_frame16_dry_trj.xyz
gmp,canonical,frame16,unconstrained,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.767134140671406,0,3.3417996763328977,3.3827672609204438,3.3417996763328977,3.49033034877823,3.801934682635638,7.381512045605551,gmp_frame16.out,gmp_frame16_trj.xyz
gmp,aluminium,frame35,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.802930000430776,0,2.8298536005879975,2.9804819472510826,3.06218081022122,2.8298536005879975,3.753415898332295,8.255199288479105,gmp_al_frame35.out,gmp_al_frame35_trj.xyz
gmp,aluminium,frame35,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,3.968206981614696,0,2.526146022777513,3.1550432036688325,2.8894095765653547,2.526146022777513,3.6655863643027398,11.265774452586934,gmp_al_frame35_dry.out,gmp_al_frame35_dry_trj.xyz
gmp,aluminium,frame59,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.0073274652447655,0,2.8855285790203404,3.279465352339799,2.9852188000610194,2.8855285790203404,3.6048300060258995,6.962480944289608,gmp_al_frame59.out,gmp_al_frame59_trj.xyz
gmp,aluminium,frame59,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.918 exceeds 0.50,0.9178,57.0,4.10553723709847,0,2.373967029658181,3.1854305853501894,2.8950630742953383,2.373967029658181,1.7898547244987448,6.051992247783529,gmp_al_frame59_dry.out,gmp_al_frame59_dry_trj.xyz
ump,canonical,frame14,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.751444560657888,0,2.4657962503683297,inf,2.6369479595497145,2.4657962503683297,3.707857820446574,7.3420852735017785,ump_frame14.out,ump_frame14_trj.xyz
ump,canonical,frame14,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.952 exceeds 0.50,0.9522,15.0,6.374225069014645,0,2.374747580060477,inf,2.631823615556168,2.374747580060477,1.754060683030729,6.347536517225772,ump_frame14_dry.out,ump_frame14_dry_trj.xyz
ump,canonical,frame15,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.539518088133897,0,2.4831322463080387,inf,2.7363060189054553,2.4831322463080387,3.928699726126662,5.22939914446091,ump_frame15.out,ump_frame15_trj.xyz
ump,canonical,frame15,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.936 exceeds 0.50,0.9363,16.0,6.604716694994132,0,2.3960699804043903,inf,2.6421300522084277,2.3960699804043903,1.7619263499872257,5.227072307377276,ump_frame15_dry.out,ump_frame15_dry_trj.xyz
ump,canonical,frame15,unconstrained,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.517566132491695,0,2.4895175151086932,inf,2.7026600810854617,2.4895175151086932,3.8201136352465794,4.499982412032319,ump_frame15.out,ump_frame15_trj.xyz
ump,canonical,frame16,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.422489602216168,0,2.498855171391602,inf,2.6450762840066977,2.498855171391602,3.912449332269995,5.28483647099755,ump_frame16.out,ump_frame16_trj.xyz
ump,canonical,frame16,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.940 exceeds 0.50,0.94,46.0,6.610190819669786,0,2.3923598317045704,inf,2.6402449323079247,2.3923598317045704,1.7590247294338943,5.243371687589193,ump_frame16_dry.out,ump_frame16_dry_trj.xyz
ump,canonical,frame16,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.610190819669786,0,2.3923598317045704,inf,2.6402449323079247,2.3923598317045704,1.7590247294338943,5.243371687589193,ump_frame16_dry_engrad.out,ump_frame16_dry_trj.xyz
ump,aluminium,frame14,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.737453225049041,0,2.471876388772321,inf,2.647586471414906,2.471876388772321,6.014017321325609,11.5459644609189,ump_al_frame14.out,ump_al_frame14_trj.xyz
