system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/geom_opt/amp_dimer_geom.inp	data/supporting_calculations/canonical_surface/amp_dimer/checks/geom_opt/amp_dimer_geom.inp	105	dimer geometry optimization checks
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/geom_opt/amp_dimer_geom.opt	data/supporting_calculations/canonical_surface/amp_dimer/checks/geom_opt/amp_dimer_geom.opt	53544	dimer geometry optimization checks
amp_dimer	canonical		supporting	supporting	normal	/data/Seafile/dimer/geom_opt/amp_dimer_geom.out	data/supporting_calculations/canonical_surface/amp_dimer/checks/geom_opt/amp_dimer_geom.out	3959020	dimer geometry optimization checks
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/geom_opt/amp_dimer_geom.xyz	data/supporting_calculations/canonical_surface/amp_dimer/checks/geom_opt/amp_dimer_geom.xyz	5240	dimer geometry optimization checks
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/geom_opt/amp_dimer_geom_trj.xyz	data/supporting_calculations/canonical_surface/amp_dimer/checks/geom_opt/amp_dimer_geom_trj.xyz	162092	dimer geometry optimization checks
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/amp2.xyz	data/supporting_calculations/canonical_surface/amp_dimer/amp2.xyz	1456	dimer reference fragment
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/amp2_c.xyz	data/supporting_calculations/canonical_surface/amp_dimer/amp2_c.xyz	1488	dimer reference fragment
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/amp2_h.xyz	data/supporting_calculations/canonical_surface/amp_dimer/amp2_h.xyz	2864	dimer reference fragment
amp_dimer	canonical		supporting	supporting		/data/Seafile/dimer/amp3.xyz	data/supporting_calculations/canonical_surface/amp_dimer/amp3.xyz	2128	dimer reference fragment
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.bibtex	data/reference_structures/aluminium_surface/flower_ring_al.bibtex	4659	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.cpcm_corr	data/reference_structures/aluminium_surface/flower_ring_al.cpcm_corr	191016	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.densitiesinfo	data/reference_structures/aluminium_surface/flower_ring_al.densitiesinfo	1838	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.engrad	data/reference_structures/aluminium_surface/flower_ring_al.engrad	14292	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.inp	data/reference_structures/aluminium_surface/flower_ring_al.inp	652	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.opt	data/reference_structures/aluminium_surface/flower_ring_al.opt	112756	
surface	aluminium		reference	reference	normal	/data/Seafile/al_surf/flower_ring_al.out	data/reference_structures/aluminium_surface/flower_ring_al.out	1492836	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al.xyz	data/reference_structures/aluminium_surface/flower_ring_al.xyz	9539	
surface	aluminium		reference	reference		/data/Seafile/al_surf/flower_ring_al_trj.xyz	data/reference_structures/aluminium_surface/flower_ring_al_trj.xyz	54099	
			script	script		/data/Seafile/extract_frames.py	data/scripts/extract_frames.py	1577	
			script	script		/data/Seafile/orca_queue.py	data/scripts/orca_queue.py	2409	
			script	script		/data/Seafile/orca_jobs.queue	data/scripts/orca_jobs.queue	17	
